,"(following, count)","(following, birth mean)","(following, birth std)","(following, birth min)","(following, birth max)","(following, death mean)","(following, death std)","(followers, count)","(followers, birth mean)","(followers, birth std)","(followers, birth min)","(followers, birth max)","(followers, death mean)","(followers, death std)"
Abdel_Rahman_Badawi,1,,,,,,,0,,,,,,
Kendall_Walton,3,1909.0,21.6564078277,1889.0,1932.0,1974.5,33.2340187158,1,1972.0,,1972.0,1972.0,,
Frithjof_Bergmann,5,1832.8,84.9982352758,1724.0,1921.0,1899.0,81.8107572389,2,1942.0,,1942.0,1942.0,2007.0,
David_Wood_(philosopher),2,1909.5,28.9913780286,1889.0,1930.0,1990.0,19.7989898732,0,,,,,,
Joseph_Butler__Western_Philosophy__1,4,1121.5,1033.91472891,-428.0,1694.0,1195.25,1029.20466866,4,1723.0,17.6823829465,1710.0,1748.0,1798.5,23.8537208838
Salman_Husaini_Nadwi,1,1914.0,,1914.0,1914.0,1999.0,,0,,,,,,
H._L._A._Hart,6,1837.5,65.1237283945,1748.0,1911.0,1908.0,60.2992537267,5,1934.8,9.01110426086,1921.0,1944.0,2007.66666667,5.50757054729
Richard_Avenarius,2,1717.5,9.19238815543,1711.0,1724.0,1790.0,19.7989898732,1,1842.0,,1842.0,1842.0,1910.0,
Levi_Bryant,5,1931.33333333,33.9460356056,1901.0,1968.0,1988.0,9.89949493661,0,,,,,,
M._M._Sharif,3,1797.0,130.770791846,1646.0,1873.0,1881.33333333,143.308524985,0,,,,,,
Erich_Fromm,5,1651.25,283.235326187,1260.0,1895.0,1715.25,286.356857784,0,,,,,,
Thomas_Hobbes,7,806.8,1067.53393389,-384.0,1592.0,872.4,1066.76393827,22,1787.0,126.968731676,1623.0,1947.0,1838.375,131.603381416
Crispin_Wright,3,1914.0,21.7025344142,1889.0,1928.0,1981.0,42.4264068712,1,,,,,,
Luce_Irigaray,5,1906.8,14.9231363996,1889.0,1930.0,1983.4,16.7421623454,3,1955.0,1.41421356237,1954.0,1956.0,,
Khalid_Masud,1,1904.0,,1904.0,1904.0,1997.0,,0,,,,,,
Patrick_Suppes,2,758.5,1615.73899501,-384.0,1901.0,831.5,1631.2953442,0,,,,,,
Ignacio_Ellacuría,1,1898.0,,1898.0,1898.0,1983.0,,0,,,,,,
Ferdinand_Fellmann,1,1833.0,,1833.0,1833.0,1911.0,,0,,,,,,
Moinuddin_Chishti,0,,,,,,,1,,,,,1979.0,
Jean-Paul_Sartre,14,1853.66666667,64.8401297365,1712.0,1913.0,1921.75,69.4185264766,25,1932.9,18.6601178989,1905.0,1967.0,1990.61538462,17.2411255507
Lewis_Call,2,1884.5,57.2756492761,1844.0,1925.0,1947.5,67.1751442127,0,,,,,,
Bernard-Henri_Lévy,1,1906.0,,1906.0,1906.0,1995.0,,0,,,,,,
Renaud_Barbaras,6,1883.2,23.1127670347,1859.0,1908.0,1959.4,19.6290600896,0,,,,,,
August_Leskien,1,1821.0,,1821.0,1821.0,1868.0,,3,1851.0,8.48528137424,1845.0,1857.0,1921.0,11.313708499
Stephen_Neale,4,1904.33333333,28.9885034683,1872.0,1928.0,1979.0,12.7279220614,0,,,,,,
John_Passmore,2,1896.5,4.94974746831,1893.0,1900.0,1969.0,9.89949493661,0,,,,,,
Karl_Ludwig_von_Haller,1,1753.0,,1753.0,1753.0,1821.0,,0,,,,,,
Jean-Michel_Berthelot,1,1724.0,,1724.0,1724.0,1804.0,,0,,,,,,
Wolfi_Landstreicher,3,1094.66666667,1305.48739302,-412.0,1890.0,1151.66666667,1277.52508129,0,,,,,,
Thomas_Pogge,2,1822.5,139.300035894,1724.0,1921.0,1903.0,140.007142675,0,,,,,,
Jesús_Padilla_Gálvez,0,,,,,,,8,1855.375,72.2652603755,1724.0,1940.0,1923.85714286,75.5721036967
Arne_Næss,2,1760.5,181.726442765,1632.0,1889.0,1826.5,211.424927575,1,1934.0,,1934.0,1934.0,2011.0,
Ibn_Abd_al-Hadi,2,1644.0,523.259018078,1274.0,2014.0,1345.0,4.24264068712,0,,,,,,
Michael_Oakeshott,10,1316.8,912.290864923,-428.0,1858.0,1387.1,911.915011878,1,1948.0,,1948.0,1948.0,,
Delfim_Santos,1,1882.0,,1882.0,1882.0,1950.0,,0,,,,,,
George_Sylvester_Morris,0,,,,,,,1,1859.0,,1859.0,1859.0,1952.0,
Augustyn_Wróblewski,3,1831.66666667,31.785741038,1809.0,1868.0,1888.66666667,26.9505720409,1,1868.0,,1868.0,1868.0,1918.0,
Aleksandr_Dugin,6,1879.8,21.004761365,1844.0,1898.0,1954.2,35.6538917932,0,,,,,,
